iter	Passed	Remaining
0	0	93
1	1	81
2	2	75
3	2	68
4	3	66
5	4	64
6	4	63
7	5	62
8	6	60
9	6	59
10	7	58
11	7	58
12	8	57
13	9	56
14	9	55
15	10	54
16	11	53
17	11	52
18	12	52
19	12	51
20	13	50
21	14	49
22	14	49
23	15	48
24	15	47
25	16	47
26	17	46
27	17	45
28	18	45
29	19	44
30	19	43
31	20	43
32	20	42
33	21	41
34	22	41
35	22	40
36	23	39
37	24	39
38	24	38
39	25	38
40	26	37
41	26	36
42	26	35
43	27	35
44	28	34
45	28	33
46	29	33
47	29	32
48	30	31
49	31	31
50	31	30
51	32	29
52	33	29
53	33	28
54	34	27
55	34	27
56	35	26
57	35	26
58	36	25
59	37	24
60	38	24
61	38	23
62	39	23
63	40	22
64	40	21
65	41	21
66	42	20
67	42	20
68	43	19
69	43	18
70	44	18
71	45	17
72	45	16
73	46	16
74	47	15
75	47	15
76	48	14
77	48	13
78	49	13
79	50	12
80	50	11
81	51	11
82	52	10
83	52	10
84	53	9
85	54	8
86	54	8
87	55	7
88	55	6
89	56	6
90	57	5
91	57	5
92	58	4
93	59	3
94	59	3
95	60	2
96	60	1
97	61	1
98	62	0
99	62	0
