iter	Passed	Remaining
0	139	139122
1	141	70426
2	143	47714
3	145	36343
4	149	29728
5	151	25030
6	153	21720
7	154	19185
8	156	17222
9	158	15732
10	160	14466
11	162	13389
12	164	12478
13	166	11691
14	167	11004
15	169	10415
16	171	9921
17	173	9472
18	176	9090
19	178	8729
20	180	8410
21	182	8099
22	184	7818
23	185	7548
24	187	7327
25	189	7093
26	190	6867
27	192	6682
28	193	6491
29	195	6313
30	196	6152
31	198	6011
32	200	5863
33	201	5729
34	203	5624
35	205	5502
36	207	5391
37	209	5303
38	210	5197
39	212	5091
40	214	5007
41	215	4917
42	216	4827
43	218	4752
44	219	4667
45	221	4585
46	222	4508
47	224	4445
48	225	4378
49	226	4307
50	228	4243
51	229	4190
52	231	4134
53	233	4085
54	235	4039
55	236	3985
56	237	3932
57	239	3884
58	240	3840
59	241	3790
60	243	3741
61	244	3698
62	245	3657
63	247	3614
64	248	3576
65	249	3536
66	251	3500
67	252	3462
68	253	3426
69	255	3392
70	256	3357
71	257	3323
72	259	3290
73	260	3262
74	262	3233
75	263	3203
76	264	3174
77	266	3148
78	267	3120
79	268	3092
80	270	3065
81	272	3045
82	272	3012
83	273	2987
84	275	2963
85	276	2943
86	278	2918
87	279	2894
88	280	2872
89	282	2853
90	283	2833
91	284	2811
92	286	2790
93	287	2773
94	289	2756
95	290	2740
96	292	2723
97	294	2706
98	295	2691
99	297	2675
100	299	2662
101	300	2648
102	302	2633
103	303	2616
104	305	2600
105	306	2583
106	307	2566
107	309	2553
108	310	2536
109	311	2519
110	312	2504
111	313	2486
112	315	2473
113	316	2459
114	317	2445
115	319	2432
116	320	2417
117	321	2403
118	322	2390
119	324	2376
120	325	2366
121	326	2351
122	327	2337
123	328	2324
124	330	2311
125	331	2300
126	332	2286
127	334	2275
128	335	2262
129	336	2255
130	338	2242
131	339	2230
132	340	2218
133	342	2213
134	343	2201
135	344	2189
136	345	2177
137	347	2167
138	348	2157
139	349	2146
140	350	2135
141	351	2121
142	352	2115
143	354	2104
144	355	2093
145	356	2083
146	357	2074
147	359	2067
148	360	2057
149	361	2046
150	362	2037
151	364	2032
152	365	2024
153	366	2015
154	368	2008
155	370	2002
156	371	1994
157	372	1985
158	374	1982
159	376	1974
160	376	1964
161	378	1956
162	380	1951
163	381	1944
164	382	1937
165	384	1929
166	386	1925
167	387	1917
168	388	1910
169	389	1902
170	391	1897
171	392	1891
172	394	1884
173	395	1876
174	397	1871
175	398	1864
176	399	1857
177	400	1850
178	402	1845
179	403	1838
180	404	1831
181	405	1823
182	407	1818
183	408	1812
184	409	1805
185	410	1798
186	412	1792
187	413	1787
188	415	1781
189	416	1775
190	418	1771
191	419	1765
192	420	1759
193	422	1754
194	424	1750
195	425	1744
196	426	1738
197	427	1733
198	429	1729
199	431	1724
200	432	1717
201	433	1711
202	435	1709
203	436	1703
204	438	1698
205	440	1696
206	441	1691
207	442	1685
208	443	1680
209	446	1677
210	447	1672
211	448	1666
212	449	1660
213	451	1659
214	452	1653
215	453	1647
216	455	1642
217	457	1639
218	458	1633
219	459	1627
220	460	1622
221	462	1620
222	463	1616
223	465	1610
224	466	1607
225	468	1603
226	469	1599
227	471	1594
228	472	1591
229	474	1587
230	475	1582
231	476	1576
232	478	1574
233	479	1570
234	480	1565
235	482	1563
236	484	1559
237	485	1554
238	486	1549
239	488	1548
240	490	1543
241	491	1538
242	492	1533
243	494	1530
244	495	1526
245	496	1521
246	497	1516
247	499	1514
248	501	1512
249	502	1508
250	503	1503
251	505	1501
252	507	1497
253	508	1494
254	510	1492
255	512	1488
256	513	1483
257	514	1480
258	516	1477
259	518	1474
260	519	1471
261	521	1469
262	523	1466
263	524	1462
264	526	1460
265	528	1458
266	530	1456
267	531	1452
268	533	1449
269	535	1447
270	537	1445
271	538	1441
272	540	1439
273	542	1437
274	544	1434
275	545	1431
276	546	1427
277	548	1425
278	549	1421
279	551	1417
280	552	1414
281	554	1411
282	555	1407
283	556	1403
284	558	1401
285	559	1397
286	561	1395
287	563	1392
288	564	1389
289	566	1386
290	567	1383
291	569	1381
292	571	1377
293	572	1373
294	573	1370
295	575	1368
296	576	1364
297	577	1360
298	579	1358
299	581	1355
300	582	1352
301	583	1348
302	584	1345
303	586	1342
304	587	1339
305	589	1336
306	591	1334
307	592	1331
308	593	1328
309	595	1326
310	597	1323
311	598	1320
312	600	1317
313	602	1315
314	603	1312
315	605	1309
316	607	1307
317	608	1305
318	610	1303
319	611	1300
320	613	1297
321	614	1294
322	616	1292
323	618	1290
324	620	1288
325	621	1285
326	623	1283
327	625	1281
328	626	1278
329	628	1276
330	630	1273
331	631	1270
332	633	1268
333	634	1266
334	636	1263
335	637	1260
336	639	1258
337	641	1255
338	642	1253
339	644	1250
340	645	1247
341	646	1244
342	648	1241
343	649	1239
344	651	1236
345	652	1233
346	654	1231
347	656	1229
348	657	1226
349	658	1223
350	660	1221
351	661	1218
352	662	1215
353	664	1211
354	665	1209
355	667	1206
356	668	1203
357	669	1200
358	670	1197
359	672	1195
360	673	1192
361	674	1189
362	676	1187
363	677	1184
364	679	1182
365	680	1178
366	682	1176
367	683	1173
368	684	1170
369	686	1168
370	687	1165
371	689	1163
372	690	1160
373	692	1158
374	693	1156
375	695	1153
376	696	1150
377	698	1148
378	699	1145
379	700	1142
380	701	1140
381	703	1137
382	704	1134
383	706	1132
384	707	1130
385	709	1128
386	710	1125
387	712	1123
388	713	1120
389	715	1119
390	716	1116
391	718	1114
392	720	1113
393	721	1110
394	723	1107
395	724	1105
396	726	1103
397	727	1100
398	728	1097
399	730	1095
400	731	1092
401	732	1090
402	734	1087
403	735	1085
404	737	1083
405	738	1081
406	740	1079
407	742	1077
408	744	1075
409	745	1072
410	747	1071
411	749	1068
412	750	1066
413	752	1064
414	753	1062
415	755	1060
416	756	1057
417	757	1055
418	759	1052
419	760	1049
420	761	1047
421	763	1045
422	764	1043
423	766	1040
424	767	1038
425	769	1036
426	770	1033
427	771	1031
428	773	1029
429	774	1027
430	776	1024
431	777	1022
432	779	1020
433	780	1018
434	781	1015
435	783	1013
436	784	1011
437	786	1009
438	787	1006
439	789	1004
440	790	1002
441	792	1000
442	793	997
443	795	995
444	796	993
445	797	991
446	799	988
447	800	986
